time,d,rssi
1650977084.0,9.0,94.0
1650977085.0,6.0,70.0
1650977085.0,1.0,59.0
1650977086.0,3.0,61.0
1650977087.0,6.0,69.0
1650977087.0,1.0,63.0
1650977087.0,3.0,61.0
1650977088.0,6.0,78.0
1650977089.0,1.0,65.0
1650977097.0,1.0,55.0
1650977097.0,3.0,68.0
1650977097.0,3.0,63.0
1650977098.0,1.0,57.0
1650977098.0,9.0,81.0
1650977099.0,6.0,82.0
1650977099.0,1.0,57.0
1650977099.0,3.0,65.0
1650977099.0,9.0,80.0
1650977111.0,9.0,79.0
1650977113.0,1.0,60.0
1650977113.0,3.0,64.0
1650977114.0,6.0,76.0
1650977114.0,9.0,80.0
1650977114.0,6.0,78.0
1650977115.0,1.0,61.0
1650977115.0,9.0,77.0
1650977116.0,3.0,64.0
1650977116.0,6.0,79.0
1650977116.0,1.0,64.0
1650977116.0,3.0,63.0
1650977117.0,6.0,73.0
1650977118.0,1.0,60.0
1650977119.0,3.0,64.0
1650977119.0,9.0,90.0
1650977120.0,6.0,70.0
1650977120.0,1.0,61.0
1650977121.0,1.0,69.0
1650977122.0,1.0,72.0
1650977122.0,3.0,67.0
1650977123.0,6.0,85.0
1650977123.0,1.0,66.0
1650977124.0,1.0,61.0
1650977124.0,3.0,79.0
1650977125.0,3.0,65.0
1650977125.0,9.0,84.0
1650977126.0,6.0,83.0
1650977126.0,1.0,56.0
1650977376.0,1.0,62.0
1650977377.0,6.0,80.0
1650977377.0,3.0,65.0
1650977378.0,1.0,61.0
1650977378.0,3.0,72.0
1650977378.0,9.0,76.0
1650977379.0,1.0,56.0
1650977380.0,6.0,80.0
1650977380.0,3.0,65.0
1650977380.0,9.0,76.0
1650977381.0,9.0,82.0
1650977382.0,6.0,72.0
1650977382.0,1.0,57.0
1650977382.0,3.0,67.0
1650977383.0,3.0,66.0
1650977383.0,9.0,82.0
1650977384.0,1.0,67.0
1650977385.0,6.0,83.0
1650977385.0,3.0,74.0
1650977386.0,3.0,71.0
1650977386.0,9.0,85.0
1650977387.0,1.0,58.0
1650977388.0,3.0,63.0
1650977389.0,9.0,90.0
1650977390.0,6.0,78.0
1650977390.0,1.0,62.0
1650977390.0,3.0,65.0
1650977392.0,3.0,68.0
1650977393.0,6.0,77.0
1650977393.0,1.0,57.0
1650977394.0,6.0,68.0
1650977394.0,3.0,71.0
1650977394.0,9.0,79.0
1650977395.0,9.0,78.0
1650977396.0,6.0,89.0
1650977396.0,1.0,53.0
1650977396.0,3.0,67.0
1650977397.0,1.0,59.0
1650977397.0,3.0,65.0
1650977399.0,6.0,83.0
1650977399.0,1.0,59.0
1650977399.0,9.0,85.0
1650977400.0,6.0,83.0
1650977400.0,3.0,66.0
1650977400.0,9.0,82.0
1650977402.0,1.0,51.0
1650977402.0,9.0,73.0
1650977403.0,6.0,77.0
1650977403.0,3.0,69.0
1650977403.0,9.0,73.0
1650977405.0,1.0,51.0
1650977405.0,9.0,75.0
1650977406.0,6.0,69.0
1650977406.0,3.0,65.0
1650977406.0,9.0,75.0
1650977407.0,1.0,49.0
1650977408.0,6.0,68.0
1650977408.0,3.0,65.0
1650977408.0,9.0,75.0
1650977409.0,6.0,78.0
1650977409.0,1.0,56.0
1650977409.0,3.0,66.0
