date,minor,accuracy,rssi
2022-04-26 21:11:58,11,31.76147205,-57
2022-04-26 21:11:59,19004,44.40913628,-87
2022-04-26 21:11:59,19002,35.35052989,-85
2022-04-26 21:11:59,13,802.984996,-79
2022-04-26 21:11:59,11,15.68488048,-53
2022-04-26 21:11:59,14,479.1073624,-75
2022-04-26 21:12:01,13,1478.076414,-84
2022-04-26 21:12:01,12,115.8186631,-65
2022-04-26 21:12:01,19003,39.64444522,-86
2022-04-26 21:12:02,11,115.8186631,-65
2022-04-26 21:12:02,19003,77.01707652,-92
2022-04-26 21:12:02,12,707.4774921,-78
2022-04-26 21:12:03,13,1312.133233,-83
2022-04-26 21:12:04,13,1662.669848,-85
2022-04-26 21:12:04,12,181.1177218,-68
2022-04-26 21:12:04,11,115.8186631,-65
2022-04-26 21:12:04,19003,159.1413852,-99
2022-04-26 21:12:05,12,419.2895897,-74
2022-04-26 21:12:05,14,419.2895897,-74
2022-04-26 21:12:06,13,707.4774921,-78
2022-04-26 21:12:06,11,85.01840418,-63
2022-04-26 21:12:07,12,115.8186631,-65
2022-04-26 21:12:07,14,802.984996,-79
2022-04-26 21:12:08,19004,159.1413852,-99
2022-04-26 21:12:08,12,115.8186631,-65
2022-04-26 21:12:20,14,622.3199556,-77
2022-04-26 21:12:22,13,546.5037808,-76
2022-04-26 21:12:22,19003,39.64444522,-86
2022-04-26 21:12:22,12,181.1177218,-68
2022-04-26 21:12:22,14,419.2895897,-74
2022-04-26 21:12:23,11,15.68488048,-53
2022-04-26 21:12:23,19003,31.48560776,-84
2022-04-26 21:12:23,12,99.34391784,-64
2022-04-26 21:12:24,14,1478.076414,-84
2022-04-26 21:12:25,19004,105.7709347,-95
2022-04-26 21:12:25,11,37.65650266,-58
2022-04-26 21:12:25,19001,77.01707652,-92
2022-04-26 21:12:26,19005,95.25772824,-94
2022-04-26 21:12:26,11,31.76147205,-57
2022-04-26 21:12:26,19003,85.69903308,-93
2022-04-26 21:12:26,12,241.4693982,-70
2022-04-26 21:12:26,14,1662.669848,-85
2022-04-26 21:12:27,13,622.3199556,-77
2022-04-26 21:12:27,19005,61.99992698,-90
2022-04-26 21:12:27,19003,117.3223902,-96
2022-04-26 21:12:27,19002,130.002185,-97
2022-04-26 21:12:28,13,319.3918229,-72
2022-04-26 21:12:28,19004,39.64444522,-86
2022-04-26 21:12:28,11,22.42786574,-55
2022-04-26 21:12:28,14,909.9450111,-80
2022-04-26 21:12:29,11,52.53898767,-60
2022-04-26 21:12:29,19003,35.35052989,-85
2022-04-26 21:12:29,14,802.984996,-79
2022-04-26 21:12:31,13,802.984996,-79
2022-04-26 21:12:31,19005,130.002185,-97
2022-04-26 21:12:31,12,156.3746411,-67
2022-04-26 21:12:31,19003,39.64444522,-86
2022-04-26 21:12:31,14,1029.561411,-81
2022-04-26 21:12:32,13,802.984996,-79
2022-04-26 21:12:32,14,1163.147271,-82
2022-04-26 21:12:33,19004,39.64444522,-86
2022-04-26 21:12:33,12,241.4693982,-70
2022-04-26 21:12:34,14,1662.669848,-85
2022-04-26 21:12:35,13,241.4693982,-70
2022-04-26 21:12:35,19005,44.40913628,-87
2022-04-26 21:12:35,11,22.42786574,-55
2022-04-26 21:12:35,14,1312.133233,-83
2022-04-26 21:12:36,19005,44.40913628,-87
2022-04-26 21:12:36,12,85.01840418,-63
2022-04-26 21:12:37,13,1662.669848,-85
2022-04-26 21:12:37,11,26.72270083,-56
2022-04-26 21:12:37,11,156.3746411,-67
2022-04-26 21:12:38,13,2626.743172,-89
2022-04-26 21:12:38,19003,28.01117503,-83
2022-04-26 21:12:38,12,319.3918229,-72
2022-04-26 21:12:38,19002,194.0523608,-101
2022-04-26 21:12:38,19003,61.99992698,-90
2022-04-26 21:12:39,12,156.3746411,-67
2022-04-26 21:12:39,14,1867.752525,-86
2022-04-26 21:12:40,13,4067.376281,-93
2022-04-26 21:12:40,11,181.1177218,-68
2022-04-26 21:12:40,19003,55.53579998,-89
2022-04-26 21:12:41,12,181.1177218,-68
2022-04-26 21:12:41,13,1312.133233,-83
2022-04-26 21:12:41,19005,35.35052989,-85
2022-04-26 21:12:42,19004,35.35052989,-85
2022-04-26 21:12:42,12,134.7243948,-66
2022-04-26 21:12:42,19001,35.35052989,-85
2022-04-26 21:12:43,13,707.4774921,-78
2022-04-26 21:12:43,19004,39.64444522,-86
2022-04-26 21:12:43,11,44.5346694,-59
